NewQuestion,MC,
QuestionText,"What does Python's conceptual hierarchy describe?",
Option,0,"True",
Option,0,"None—:= only works inside the condition",
Option,0,"This raises a SyntaxError",

NewQuestion,MC,
QuestionText,"Why are parentheses often required around walrus operator expressions?",
Option,0,"Parentheses are always required by Python syntax",
Option,0,"To distinguish := from ==",
Option,0,"Parentheses make the code run faster",
Option,100,"Because := has low precedence, and without parentheses the expression may be parsed incorrectly",

NewQuestion,MC,
QuestionText,"Which situation benefits MOST from using the walrus operator?",
Option,0,"When assigning multiple values at once",
Option,100,"When you need to compute a value, test it in a condition, and use it in the body",
Option,0,"When creating constants",
Option,0,"When defining function parameters",

NewQuestion,MC,
QuestionText,"When you write my_list.sort() on its own line, this is an example of:",
Option,100,"An expression statement—the expression is evaluated for its side effect, and the return value is discarded",
Option,0,"An assignment statement",
Option,0,"A compound statement",
Option,0,"A syntax error because there's no assignment",

NewQuestion,MC,
QuestionText,"What does the sep parameter in print() control?",
Option,0,"The string added at the end of the output",
Option,0,"The file where output is written",
Option,100,"The string inserted between multiple arguments (default is a space)",
Option,0,"Whether to separate output into multiple lines",

NewQuestion,MC,
QuestionText,"What is the output of: print('a', 'b', 'c', sep='-')?",
Option,0,"a b c-",
Option,0,"-a-b-c-",
Option,100,"a-b-c",
Option,0,"abc",

NewQuestion,MC,
QuestionText,"What is the output of: print('X', end=''); print('Y', end=''); print('Z')",
Option,0,"X Y Z",
Option,0,"X\nY\nZ",
Option,100,"XYZ",
Option,0,"X, Y, Z",

NewQuestion,M,
QuestionText,"Match each level of Python's conceptual hierarchy with its description.",
Choice,1,"Program",
Match,1,"The top level; composed of one or more modules",
Choice,2,"Module",
Match,2,"A .py file containing Python code",
Choice,3,"Statement",
Match,3,"Code that performs an action (like assignment or a loop)",
Choice,4,"Expression",
Match,4,"Code that produces a value",
Choice,5,"Object",
Match,5,"A value stored in memory with a type and identity",

NewQuestion,M,
QuestionText,"Match each assignment form with its example.",
Choice,1,"Basic assignment",
Match,1,"x = 10",
Choice,2,"Tuple unpacking",
Match,2,"x, y = (1, 2)",
Choice,3,"Extended unpacking",
Match,3,"first, *rest = [1, 2, 3]",
Choice,4,"Augmented assignment",
Match,4,"x += 5",
Choice,5,"Named assignment (walrus)",
Match,5,"if (n := len(data)) > 0:",

NewQuestion,M,
QuestionText,"Match each print() parameter with what it controls.",
Choice,1,"sep",
Match,1,"String inserted between arguments",
Choice,2,"end",
Match,2,"String added after all arguments (default is newline)",
Choice,3,"file",
Match,3,"Where output is written (default is screen)",
Choice,4,"flush",
Match,4,"Whether to force immediate output",

NewQuestion,MS,
QuestionText,"Which statements are true about Python's program hierarchy? (Select all that apply.)",
Option,1,"Modules contain statements",
Option,1,"Expressions produce values that can be used elsewhere",
Option,1,"Objects are at the bottom of the hierarchy—they are the actual values",
Option,0,"Programs are contained inside modules",
Option,0,"Statements produce values that can be assigned to names",

NewQuestion,MS,
QuestionText,"Which statements are true about the distinction between statements and expressions? (Select all that apply.)",
Option,1,"Expressions can appear anywhere a value is expected",
Option,1,"Assignment with = is a statement, not an expression",
Option,1,"Function calls like len('hello') are expressions",
Option,0,"Statements produce values; expressions perform actions",
Option,0,"if/for/while are expressions because they control program flow",

NewQuestion,MS,
QuestionText,"Which statements are true about Python's use of indentation? (Select all that apply.)",
Option,1,"Indentation determines which statements belong to a block",
Option,1,"The colon (:) signals that an indented block follows",
Option,1,"Inconsistent indentation within a block causes IndentationError",
Option,0,"Indentation is optional but recommended for readability",
Option,0,"You must use exactly 4 spaces; tabs are not allowed",

NewQuestion,MS,
QuestionText,"Which are valid extended unpacking assignments? (Select all that apply.)",
Option,1,"first, *rest = [1, 2, 3, 4]",
Option,1,"*init, last = [1, 2, 3, 4]",
Option,1,"first, *middle, last = [1, 2, 3, 4]",
Option,0,"*first, *rest = [1, 2, 3, 4]",
Option,0,"first, rest* = [1, 2, 3, 4]",

NewQuestion,MS,
QuestionText,"For the code a, *b, c = [1, 2, 3, 4, 5], which statements are true? (Select all that apply.)",
Option,1,"a is 1",
Option,1,"b is [2, 3, 4]",
Option,1,"c is 5",
Option,0,"b is (2, 3, 4)",
Option,0,"a is [1]",

NewQuestion,MS,
QuestionText,"Which statements are true about augmented assignment (like +=, -=)? (Select all that apply.)",
Option,1,"x += 1 is roughly equivalent to x = x + 1",
Option,1,"For mutable objects like lists, += may modify the object in place",
Option,1,"//= performs floor division and assigns the result",
Option,0,"+= always creates a new object",
Option,0,"Augmented assignment works only with numbers",

NewQuestion,MS,
QuestionText,"Which statements are true about multi-target assignment like a = b = c = 0? (Select all that apply.)",
Option,1,"All names refer to the same object",
Option,1,"With mutable objects, changes through one name affect all names",
Option,0,"Each name gets an independent copy of the value",
Option,0,"This syntax is only valid for integers",
Option,0,"The rightmost name is assigned first",

NewQuestion,MS,
QuestionText,"Which statements are true about the walrus operator (:=)? (Select all that apply.)",
Option,1,":= assigns a value AND returns that value",
Option,1,":= allows assignment inside expressions where = is not allowed",
Option,1,"Parentheses are often needed due to := having low precedence",
Option,0,":= replaces = for all assignments in modern Python",
Option,0,":= can only be used inside if statements",

NewQuestion,MS,
QuestionText,"In which situations is the walrus operator (:=) most useful? (Select all that apply.)",
Option,1,"When you need to compute a value, test it, and use it without calling a function twice",
Option,1,"In while loops where you want to assign and test in the condition",
Option,1,"In list comprehensions when filtering requires a computed value",
Option,0,"When assigning multiple values to multiple names",
Option,0,"When creating class attributes",

NewQuestion,MS,
QuestionText,"Which statements are true about print() parameters? (Select all that apply.)",
Option,1,"sep controls what appears between arguments (default is space)",
Option,1,"end controls what appears after all output (default is newline)",
Option,1,"file can redirect output to a file object",
Option,0,"sep and end are positional arguments, not keyword arguments",
Option,0,"flush=True makes print() return the output as a string",

NewQuestion,MS,
QuestionText,"Which are valid ways to continue a statement across multiple lines? (Select all that apply.)",
Option,1,"Use a backslash (\) at the end of a line",
Option,1,"Leave an open parenthesis, bracket, or brace unclosed",
Option,1,"Wrap the expression in parentheses",
Option,0,"Use a semicolon at the end of each line",
Option,0,"Use the continue keyword",

