NewQuestion,MC,
QuestionText,"What does the `is` operator test in Python?",
Option,0,"Raises KeyError",
Option,0,"Returns None and ignores 30",
Option,0,"Adds "missing" to d with value 30",
Option,100,"Returns 30 without raising an error",

NewQuestion,MC,
QuestionText,"Consider base = {"host": "localhost", "port": 8000}; override = {"port": 9000}; merged = base.copy(); merged.update(override). Which statement is true?",
Option,100,"base is unchanged; merged has port 9000",
Option,0,"base now has port 9000 because update mutates base",
Option,0,"merged equals override only",
Option,0,"copy() creates a deep copy of any nested objects automatically",

NewQuestion,MC,
QuestionText,"Which operation mutates a dictionary in place?",
Option,0,"merged = base | override",
Option,100,"base.update(override)",
Option,0,"merged = dict(base, **override)",
Option,0,"merged = base.copy()",

NewQuestion,MC,
QuestionText,"What is returned by d.keys()?",
Option,0,"A list of keys",
Option,0,"A tuple of keys",
Option,100,"A dictionary view object of keys",
Option,0,"A set of values",

NewQuestion,MC,
QuestionText,"Given a = {"x": 1, "y": 2} and b = {"y": 9, "z": 3}, what does a.keys() & b.keys() produce?",
Option,0,"{"x", "y", "z"}",
Option,0,"{"x", "z"}",
Option,0,"{"x", "y"}",
Option,100,"{"y"}",

NewQuestion,MC,
QuestionText,"What is a primary purpose of a set?",
Option,100,"Store unique values (no duplicates)",
Option,0,"Preserve insertion order of items",
Option,0,"Allow indexing by position",
Option,0,"Store key-value pairs",

NewQuestion,MC,
QuestionText,"What does set([1, 1, 2, 2, 3]) produce?",
Option,0,"[1, 2, 3]",
Option,100,"{1, 2, 3}",
Option,0,"(1, 2, 3)",
Option,0,"{"1", "2", "3"}",

NewQuestion,MC,
QuestionText,"Why cannot a list be an element of a set?",
Option,0,"Lists are too large",
Option,0,"Lists are always empty",
Option,100,"Lists are mutable and therefore unhashable",
Option,0,"Lists contain only integers",

NewQuestion,MC,
QuestionText,"Consider bad = {[1, 2], [3, 4]}. What happens?",
Option,0,"It creates a set of two lists",
Option,0,"It creates a list of two sets",
Option,0,"It creates a dictionary with list keys",
Option,100,"Python raises a TypeError about an unhashable type",

NewQuestion,MC,
QuestionText,"Consider nested = [[1, 2], [3, 4]]; shallow = nested[:]; shallow[0].append(999). Which statement is true?",
Option,100,"nested is changed because the inner list is shared",
Option,0,"nested is unchanged because slicing makes a deep copy",
Option,0,"shallow becomes None after append",
Option,0,"nested becomes a tuple",

NewQuestion,MC,
QuestionText,"Which best describes a shallow copy of a nested list?",
Option,0,"Copies the outer list and also copies all inner lists",
Option,100,"Copies the outer list but the inner lists remain shared",
Option,0,"Copies only the first inner list",
Option,0,"Converts the nested list to a set",

NewQuestion,MC,
QuestionText,"What does copy.deepcopy(nested) do for a nested list?",
Option,0,"It copies only the outer list",
Option,0,"It copies only the last inner list",
Option,100,"It recursively copies nested objects to make them independent",
Option,0,"It sorts the nested list",

NewQuestion,MC,
QuestionText,"After nested = [[1, 2], [3, 4]]; deep = copy.deepcopy(nested); deep[0].append(999), which statement is true?",
Option,0,"nested changes because deep shares inner lists",
Option,0,"nested becomes [[1, 2, 999], [3, 4]]",
Option,0,"deep becomes identical to nested again",
Option,100,"nested is unchanged because deep has independent inner lists",

NewQuestion,MC,
QuestionText,"A Path created as Path("demo.txt") refers to a file in which location?",
Option,100,"The current working directory (unless a folder path is included)",
Option,0,"The system root directory",
Option,0,"The user's home directory only",
Option,0,"The folder containing the Python executable",

NewQuestion,MC,
QuestionText,"What does Path.write_text("hello") do if the file does not exist?",
Option,0,"Raises FileNotFoundError",
Option,100,"Creates the file and writes the text",
Option,0,"Returns None and does nothing",
Option,0,"Creates a folder instead of a file",

NewQuestion,MC,
QuestionText,"What does Path.read_text() do if the file does not exist?",
Option,0,"Returns an empty string",
Option,0,"Creates the file automatically",
Option,100,"Raises FileNotFoundError",
Option,0,"Returns None",

NewQuestion,MC,
QuestionText,"In a notebook, what is the "working directory"?",
Option,0,"The last folder you opened in a web browser",
Option,0,"The folder where Python stores installed packages",
Option,0,"The folder where your operating system keeps temporary files",
Option,100,"The folder Python treats as the current location for relative file names",

NewQuestion,MC,
QuestionText,"Which statement about dict.get(key, default) is correct?",
Option,100,"It returns default if the key is missing; without raising KeyError",
Option,0,"It raises KeyError if the key is missing; even with a default",
Option,0,"It removes the key if it exists",
Option,0,"It converts the dictionary to a list",

NewQuestion,MC,
QuestionText,"Which statement about in with sets is correct?",
Option,0,"It checks whether a value is at a specific index",
Option,100,"It tests membership efficiently (whether a value is present)",
Option,0,"It sorts the set and returns the sorted values",
Option,0,"It converts the set to a tuple automatically",

NewQuestion,MC,
QuestionText,"Which statement about tuple indexing is correct?",
Option,0,"Tuples cannot be indexed",
Option,0,"Only positive indexes work for tuples",
Option,100,"Tuple indexing works like list indexing; including negative indexes",
Option,0,"Indexing a tuple always returns a list",

NewQuestion,MC,
QuestionText,"Which statement about rebinding vs mutation is correct?",
Option,0,"Rebinding changes an existing object in place",
Option,0,"Mutation always creates a new object",
Option,0,"Rebinding and mutation are the same thing in Python",
Option,100,"Rebinding changes what a name refers to; mutation changes the contents of an object",

